Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
AP3D1,Lymphocyte,SCZ,Wald ratio,1,1.031,1.63E-03,NA,NA,NA,0.365417693
RCCD1,Lymphocyte,SCZ,Wald ratio,1,1.215,1.64E-03,NA,NA,NA,0.397686418
HDDC3,Lymphocyte,SCZ,Wald ratio,1,1.032,1.64E-03,NA,NA,NA,0.397686418
MAP3K12,Lymphocyte,SCZ,Wald ratio,1,1.187,1.65E-03,NA,NA,NA,0.44448746
DENND2D,Lymphocyte,SCZ,Wald ratio,1,0.96,1.66E-03,NA,NA,NA,0.400582797
LOC202781,Lymphocyte,SCZ,Wald ratio,1,0.968,1.68E-03,NA,NA,NA,0.387457793
VWA5A,Lymphocyte,SCZ,Wald ratio,1,1.057,1.68E-03,NA,NA,NA,0.420451896
ACCS,Lymphocyte,SCZ,Wald ratio,1,0.602,1.72E-03,NA,NA,NA,0.374504262
SETBP1,Lymphocyte,SCZ,Wald ratio,1,1.052,1.79E-03,NA,NA,NA,0.453412298
KIAA1908,Lymphocyte,SCZ,Wald ratio,1,1.03,1.83E-03,NA,NA,NA,0.353370785
FLJ32065,Lymphocyte,SCZ,Wald ratio,1,3.158,1.88E-03,NA,NA,NA,0.473845065
KRTCAP3,Lymphocyte,SCZ,Wald ratio,1,0.97,1.92E-03,NA,NA,NA,0.348729316
NRBP1,Lymphocyte,SCZ,Wald ratio,1,0.336,1.92E-03,NA,NA,NA,0.348729314
LOC400794,Lymphocyte,SCZ,Wald ratio,1,1.094,1.98E-03,NA,NA,NA,0.361990401
KCNJ15,Lymphocyte,SCZ,Wald ratio,1,0.963,2.04E-03,NA,NA,NA,0.355146269
TNR,Lymphocyte,SCZ,Wald ratio,1,0.943,2.11E-03,NA,NA,NA,0.343877604
DNAH11,Lymphocyte,SCZ,Inverse variance weighted,2,0.974,2.13E-03,NA,0.931946851,NA,0.009074774
LOC254559,Lymphocyte,SCZ,Wald ratio,1,1.083,2.15E-03,NA,NA,NA,0.323437177
MIR30B,Lymphocyte,SCZ,Wald ratio,1,0.967,2.28E-03,NA,NA,NA,0.332922621
KCNQ3,Lymphocyte,SCZ,Wald ratio,1,1.039,2.28E-03,NA,NA,NA,0.336941264
INPP1,Lymphocyte,SCZ,Wald ratio,1,0.401,2.32E-03,NA,NA,NA,0.464046916
SCFD1,Lymphocyte,SCZ,Wald ratio,1,4.291,2.32E-03,NA,NA,NA,0.35883473
CRELD2,Lymphocyte,SCZ,Wald ratio,1,0.842,2.46E-03,NA,NA,NA,0.401099966
INPP5D,Lymphocyte,SCZ,Wald ratio,1,0.173,2.50E-03,NA,NA,NA,0.293728192
RINT1,Lymphocyte,SCZ,Wald ratio,1,0.948,2.61E-03,NA,NA,NA,0.290606529
ERC1,Lymphocyte,SCZ,Wald ratio,1,0.741,2.70E-03,NA,NA,NA,0.42728015
TMEM178,Lymphocyte,SCZ,Wald ratio,1,0.859,2.81E-03,NA,NA,NA,0.272276486
FGF12,Lymphocyte,SCZ,Weighted median,3,1.023,2.88E-03,0.35125981,0.346495462,0.464448962,0.114830919
SNCA,Lymphocyte,SCZ,Wald ratio,1,1.033,2.91E-03,NA,NA,NA,0.263490614
PAPOLA,Lymphocyte,SCZ,Wald ratio,1,0.723,2.96E-03,NA,NA,NA,0.299884086
TNFRSF8,Lymphocyte,SCZ,Wald ratio,1,0.851,3.02E-03,NA,NA,NA,0.259284339
STON1-GTF2A1L,Lymphocyte,SCZ,Wald ratio,1,0.97,3.12E-03,NA,NA,NA,0.264521657
ISL1,Lymphocyte,SCZ,Wald ratio,1,1.166,3.12E-03,NA,NA,NA,0.260208119
TBXAS1,Lymphocyte,SCZ,Wald ratio,1,1.048,3.14E-03,NA,NA,NA,0.294331819
SPINK8,Lymphocyte,SCZ,Wald ratio,1,1.054,3.21E-03,NA,NA,NA,0.26343758
CCDC33,Lymphocyte,SCZ,Wald ratio,1,1.059,3.26E-03,NA,NA,NA,0.246451878
SEMA7A,Lymphocyte,SCZ,Wald ratio,1,1.054,3.26E-03,NA,NA,NA,0.246451878
NIPAL4,Lymphocyte,SCZ,Wald ratio,1,0.668,3.30E-03,NA,NA,NA,0.262207372
PRKAB2,Lymphocyte,SCZ,Wald ratio,1,0.721,3.39E-03,NA,NA,NA,0.237773804
CHD1L,Lymphocyte,SCZ,Wald ratio,1,0.892,3.39E-03,NA,NA,NA,0.237773811
PDIA3P,Lymphocyte,SCZ,Wald ratio,1,0.958,3.39E-03,NA,NA,NA,0.237773811
LPHN3,Lymphocyte,SCZ,Wald ratio,1,1.073,3.54E-03,NA,NA,NA,0.250282838
