Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
LMX1A,Brain Cortex,OCD,Wald ratio,1,1.099,2.09E-02,NA,NA,NA,0.013077087
RIPPLY2,Fetal Brain,OCD,Wald ratio,1,117707900,2.09E-02,NA,NA,NA,0.261817295
NOL10,Brain Meta Analysis,OCD,Wald ratio,1,0.896,2.10E-02,NA,NA,NA,0.161261735
NOL10,Fetal Brain,OCD,Wald ratio,1,0.215,2.10E-02,NA,NA,NA,0.16126173
C7orf50,Fetal Brain,OCD,Wald ratio,1,0.465,2.11E-02,NA,NA,NA,0.184091281
CCDC88C,Fetal Brain,OCD,Inverse variance weighted,2,0.359,2.13E-02,NA,0.340618065,NA,0.078006546
RPS6KA4,Brain Meta Analysis,OCD,Wald ratio,1,0.888,2.16E-02,NA,NA,NA,0.148253532
ZMIZ1-AS1,Brain Cortex,OCD,Wald ratio,1,0.823,2.17E-02,NA,NA,NA,0.04302738
C4orf19,Fetal Brain,OCD,Wald ratio,1,7816.379,2.17E-02,NA,NA,NA,0.17274869
SMCO2,Brain Meta Analysis,OCD,Wald ratio,1,1.333,2.18E-02,NA,NA,NA,0.239044779
DIP2B,Brain Cortex,OCD,Wald ratio,1,1.081,2.19E-02,NA,NA,NA,0.155877112
SLC8A1,Brain Meta Analysis,OCD,Inverse variance weighted,2,1.076,2.22E-02,NA,0.590810956,NA,0.013999948
PHF21A,Brain Meta Analysis,OCD,Wald ratio,1,0.858,2.25E-02,NA,NA,NA,0.1611211
CAB39,Fetal Brain,OCD,Wald ratio,1,0.116,2.25E-02,NA,NA,NA,0.206525341
RASGRP1,Brain Meta Analysis,OCD,Wald ratio,1,1.125,2.30E-02,NA,NA,NA,0.173787156
LMOD3,Fetal Brain,OCD,Wald ratio,1,11.329,2.34E-02,NA,NA,NA,0.177046751
STK32B,Brain Cortex,OCD,Wald ratio,1,0.817,2.35E-02,NA,NA,NA,0.018785138
PFKFB3,Brain Meta Analysis,OCD,Wald ratio,1,1.278,2.35E-02,NA,NA,NA,0.209518008
ENSG00000287514,Brain Cortex,OCD,Wald ratio,1,0.801,2.42E-02,NA,NA,NA,0.017907529
RERE,Brain Meta Analysis,OCD,Wald ratio,1,1.143,2.42E-02,NA,NA,NA,0.1477484
ARHGEF16,Brain Meta Analysis,OCD,Wald ratio,1,0.863,2.49E-02,NA,NA,NA,0.190101193
TAF4B,Brain Meta Analysis,OCD,Wald ratio,1,1.128,2.54E-02,NA,NA,NA,0.133807257
CYP20A1,Fetal Brain,OCD,Wald ratio,1,215.791,2.55E-02,NA,NA,NA,0.133974121
SMURF1,Brain Meta Analysis,OCD,Wald ratio,1,0.947,2.56E-02,NA,NA,NA,0.151497776
LCP1,Brain Meta Analysis,OCD,Wald ratio,1,1.119,2.58E-02,NA,NA,NA,0.146211589
C22orf15,Fetal Brain,OCD,Inverse variance weighted,2,3.406,2.61E-02,NA,0.398181173,NA,0.155960002
C15orf53,Fetal Brain,OCD,Wald ratio,1,9.86,2.63E-02,NA,NA,NA,0.134923787
DEM1,Fetal Brain,OCD,Wald ratio,1,0,2.70E-02,NA,NA,NA,0.205178163
PDE8B,Brain Meta Analysis,OCD,Wald ratio,1,1.15,2.73E-02,NA,NA,NA,0.144449957
HOXB8,Brain Meta Analysis,OCD,Wald ratio,1,1.087,2.73E-02,NA,NA,NA,0.200738534
SLC22A23,Brain Meta Analysis,OCD,Weighted median,4,0.912,2.73E-02,0.213018319,0.312622618,0.636550293,0.038778692
WDR66,Fetal Brain,OCD,Wald ratio,1,0.294,2.73E-02,NA,NA,NA,0.126065552
CELF2,Brain Cortex,OCD,Wald ratio,1,1.101,2.75E-02,NA,NA,NA,0.146865281
FGF5,Brain Meta Analysis,OCD,Wald ratio,1,1.536,2.75E-02,NA,NA,NA,0.205096983
CASQ2,Brain Meta Analysis,OCD,Wald ratio,1,0.866,2.77E-02,NA,NA,NA,0.128971747
OTULINL,Brain Meta Analysis,OCD,Wald ratio,1,1.126,2.78E-02,NA,NA,NA,0.209449083
DPPA2,Brain Meta Analysis,OCD,Wald ratio,1,1.184,2.79E-02,NA,NA,NA,0.230511591
TCERG1L,Brain Meta Analysis,OCD,Inverse variance weighted,4,0.943,2.79E-02,0.695482877,0.802286088,0.655441105,0.015505559
