"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"RPL17P35","Stem-cell-iPSC","ASD","Wald ratio",1,-0.015,0.038,0.985,0.687,NA,NA,NA,7.45e-06
"DAB2IP","Stem-cell-iPSC","ASD","Wald ratio",1,-0.01,0.025,0.99,0.687,NA,NA,NA,1.07e-05
"MIR8070","Stem-cell-iPSC","ASD","Wald ratio",1,-0.079,0.198,0.924,0.688,NA,NA,NA,0.009194697
"CCSER1","Stem-cell-iPSC","ASD","Weighted median",3,-0.012,0.029,0.989,0.689,0.02416773,0.021932223,0.607245037,0.000265622
"CECR5-AS1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.022,0.057,0.978,0.691,NA,NA,NA,0.000113402
"MMP20","Stem-cell-iPSC","ASD","Wald ratio",1,-0.024,0.061,0.976,0.693,NA,NA,NA,0.007437303
"TMEM168","Stem-cell-iPSC","ASD","Wald ratio",1,0.018,0.045,1.018,0.694,NA,NA,NA,1.53e-05
"PITPNM2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.01,0.027,0.99,0.695,NA,NA,NA,3.52e-06
"ZNF148","Stem-cell-iPSC","ASD","Wald ratio",1,0.022,0.056,1.022,0.695,NA,NA,NA,2.84e-05
"OVCH2","Stem-cell-iPSC","ASD","Wald ratio",1,0.011,0.028,1.011,0.695,NA,NA,NA,0.011485642
"FHDC1","Stem-cell-iPSC","ASD","Wald ratio",1,0.011,0.028,1.011,0.695,NA,NA,NA,4.38e-06
"PLD1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.015,0.039,0.985,0.696,NA,NA,NA,1.7e-05
"RAMP3","Stem-cell-iPSC","ASD","Wald ratio",1,0.023,0.059,1.023,0.696,NA,NA,NA,0.000723853
"RAD23BLP","Stem-cell-iPSC","ASD","Wald ratio",1,0.013,0.034,1.013,0.696,NA,NA,NA,6.1e-06
"ARHGAP26","Stem-cell-iPSC","ASD","Wald ratio",1,-0.008,0.022,0.992,0.697,NA,NA,NA,4.25e-06
"ZNF57","Stem-cell-iPSC","ASD","Wald ratio",1,-0.014,0.036,0.986,0.698,NA,NA,NA,9.5e-06
"RPL7","Stem-cell-iPSC","ASD","Wald ratio",1,-0.019,0.048,0.982,0.698,NA,NA,NA,0.000774731
"INVS","Stem-cell-iPSC","ASD","Wald ratio",1,-0.008,0.021,0.992,0.699,NA,NA,NA,8.85e-06
"RN7SKP280","Stem-cell-iPSC","ASD","Wald ratio",1,0.028,0.074,1.029,0.699,NA,NA,NA,0.007427995
"KANSL3","Stem-cell-iPSC","ASD","Wald ratio",1,-0.023,0.061,0.977,0.7,NA,NA,NA,0.007692856
"MS4A6E","Stem-cell-iPSC","ASD","Wald ratio",1,0.008,0.021,1.008,0.7,NA,NA,NA,0.00760586
"SLC15A4","Stem-cell-iPSC","ASD","Wald ratio",1,0.021,0.053,1.021,0.7,NA,NA,NA,0.003436329
"NCAM2","Stem-cell-iPSC","ASD","Inverse variance weighted",2,-0.009,0.022,0.991,0.701,NA,0.865725062,NA,1.19e-05
"PARP14","Stem-cell-iPSC","ASD","Wald ratio",1,0.027,0.069,1.027,0.701,NA,NA,NA,5.27e-05
"TRPC4","Stem-cell-iPSC","ASD","Wald ratio",1,-0.011,0.028,0.989,0.701,NA,NA,NA,1.6e-05
"ADAMTS20","Stem-cell-iPSC","ASD","Wald ratio",1,0.048,0.124,1.049,0.701,NA,NA,NA,0.000135525
"PRKAG2","Stem-cell-iPSC","ASD","Wald ratio",1,0.008,0.021,1.008,0.702,NA,NA,NA,0.003255218
"CTBP2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.01,0.026,0.99,0.702,NA,NA,NA,1.13e-05
"TMEM132B","Stem-cell-iPSC","ASD","Inverse variance weighted",2,-0.008,0.02,0.992,0.702,NA,0.68429413,NA,3.15e-05
