"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"ZNF556","Lymphocyte","SCZ","Wald ratio",1,"-0.007","0.013","  0.993","5.71e-01",NA,NA,NA,0.006978203
"ERC2","Lymphocyte","SCZ","Inverse variance weighted",3," 0.010","0.017","  1.010","5.72e-01",0.00507426,0.019610078,0.976574367,0.181444953
"HUS1","Lymphocyte","SCZ","Wald ratio",1," 0.070","0.123","  1.072","5.72e-01",NA,NA,NA,0.00800501
"TTC26","Lymphocyte","SCZ","Wald ratio",1," 0.011","0.020","  1.012","5.72e-01",NA,NA,NA,0.010222276
"FLJ41941","Lymphocyte","SCZ","Wald ratio",1,"-0.012","0.021","  0.988","5.72e-01",NA,NA,NA,0.006281512
"MICAL3","Lymphocyte","SCZ","Wald ratio",1,"-0.007","0.012","  0.993","5.72e-01",NA,NA,NA,0.006281512
"SFXN1","Lymphocyte","SCZ","Wald ratio",1,"-0.251","0.446","  0.778","5.73e-01",NA,NA,NA,0.009536391
"IQGAP2","Lymphocyte","SCZ","Inverse variance weighted",2,"-0.005","0.009","  0.995","5.73e-01",NA,0.756997843,NA,0.005279008
"GNB4","Lymphocyte","SCZ","Wald ratio",1," 0.013","0.023","  1.013","5.73e-01",NA,NA,NA,0.005989219
"MAGI1","Lymphocyte","SCZ","Wald ratio",1,"-0.008","0.014","  0.992","5.73e-01",NA,NA,NA,0.007309312
"PLEKHB1","Lymphocyte","SCZ","Wald ratio",1,"-0.006","0.010","  0.994","5.73e-01",NA,NA,NA,0.005064881
"MRPL48","Lymphocyte","SCZ","Wald ratio",1,"-0.006","0.011","  0.994","5.73e-01",NA,NA,NA,0.005064881
"ALKBH3","Lymphocyte","SCZ","Wald ratio",1,"-0.012","0.021","  0.988","5.74e-01",NA,NA,NA,0.008334487
"IL20RA","Lymphocyte","SCZ","Wald ratio",1," 0.010","0.018","  1.010","5.74e-01",NA,NA,NA,0.005172574
"KCNQ1","Lymphocyte","SCZ","Weighted median",4,"-0.004","0.007","  0.996","5.75e-01",0.677217799,0.435363328,0.297453356,0.004983474
"LOC646762","Lymphocyte","SCZ","Wald ratio",1," 0.010","0.017","  1.010","5.76e-01",NA,NA,NA,0.008776263
"CPN2","Lymphocyte","SCZ","Wald ratio",1,"-0.020","0.037","  0.980","5.77e-01",NA,NA,NA,0.005512348
"AGXT","Lymphocyte","SCZ","Wald ratio",1," 0.009","0.015","  1.009","5.77e-01",NA,NA,NA,0.004993072
"C6orf173","Lymphocyte","SCZ","Wald ratio",1," 0.007","0.012","  1.007","5.77e-01",NA,NA,NA,0.00499311
"RAB27B","Lymphocyte","SCZ","Wald ratio",1,"-0.008","0.014","  0.992","5.77e-01",NA,NA,NA,0.006026593
"KIAA1211","Lymphocyte","SCZ","Wald ratio",1," 0.005","0.009","  1.005","5.78e-01",NA,NA,NA,0.005104469
"MYBL2","Lymphocyte","SCZ","Wald ratio",1," 0.027","0.049","  1.027","5.78e-01",NA,NA,NA,0.00665416
"KIAA1529","Lymphocyte","SCZ","Wald ratio",1," 0.009","0.016","  1.009","5.79e-01",NA,NA,NA,0.008302892
"GKN1","Lymphocyte","SCZ","Wald ratio",1,"-0.017","0.031","  0.983","5.79e-01",NA,NA,NA,0.011457134
"PKHD1","Lymphocyte","SCZ","Wald ratio",1," 0.024","0.044","  1.025","5.79e-01",NA,NA,NA,0.005846274
"CMBL","Lymphocyte","SCZ","Wald ratio",1," 0.052","0.094","  1.053","5.80e-01",NA,NA,NA,0.005440568
"C14orf102","Lymphocyte","SCZ","Wald ratio",1,"-0.006","0.011","  0.994","5.80e-01",NA,NA,NA,0.005440568
"PYGL","Lymphocyte","SCZ","Wald ratio",1,"-0.149","0.269","  0.862","5.80e-01",NA,NA,NA,0.005440568
"ARHGEF16","Lymphocyte","SCZ","Wald ratio",1,"-0.012","0.021","  0.988","5.80e-01",NA,NA,NA,0.007498611
"SH3TC1","Lymphocyte","SCZ","Wald ratio",1," 0.014","0.026","  1.014","5.80e-01",NA,NA,NA,0.007098069
"UTP11L","Lymphocyte","SCZ","Wald ratio",1,"-0.022","0.040","  0.978","5.81e-01",NA,NA,NA,0.005033884
"C17orf48","Lymphocyte","SCZ","Wald ratio",1,"-0.005","0.010","  0.995","5.81e-01",NA,NA,NA,0.005033884
"TM7SF4","Lymphocyte","SCZ","Wald ratio",1," 0.006","0.010","  1.006","5.81e-01",NA,NA,NA,0.00566361
"STARD13","Lymphocyte","SCZ","Wald ratio",1," 0.007","0.013","  1.007","5.81e-01",NA,NA,NA,0.00566361
"JARID2","Lymphocyte","SCZ","Wald ratio",1," 0.010","0.018","  1.010","5.81e-01",NA,NA,NA,0.008964076
"CCDC154","Lymphocyte","SCZ","Wald ratio",1," 0.006","0.012","  1.006","5.82e-01",NA,NA,NA,0.005144317
"CLCN7","Lymphocyte","SCZ","Wald ratio",1," 0.005","0.009","  1.005","5.82e-01",NA,NA,NA,0.005144232
"ARRB1","Lymphocyte","SCZ","Wald ratio",1,"-0.026","0.047","  0.974","5.82e-01",NA,NA,NA,0.009177985
"C2orf58","Lymphocyte","SCZ","Inverse variance weighted",2," 0.009","0.016","  1.009","5.82e-01",NA,0.826901903,NA,0.009674864
"DPP10","Lymphocyte","SCZ","Inverse variance weighted",2," 0.014","0.026","  1.015","5.83e-01",NA,0.326726149,NA,0.007610884
"NDUFS6","Lymphocyte","SCZ","Wald ratio",1," 0.456","0.831","  1.578","5.83e-01",NA,NA,NA,0.00764887
