"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"GULP1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.024","0.028","0.976","3.88e-01",NA,NA,NA,0.010511872
"IMMT","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.024","0.028","0.976","3.91e-01",NA,NA,NA,0.010452848
"CECR5","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.028","0.033","0.972","3.93e-01",NA,NA,NA,0.002236588
"FTSJ3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.022","0.026","1.022","3.99e-01",NA,NA,NA,0.011562607
"LRRC40","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.050","0.059","1.051","4.00e-01",NA,NA,NA,0.000704238
"C14orf159","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.012","0.014","0.989","4.01e-01",NA,NA,NA,0.010919901
"PTAR1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.039","0.046","1.040","4.02e-01",NA,NA,NA,0.001074279
"HSDL2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.033","0.040","0.968","4.06e-01",NA,NA,NA,0.000497782
"NSFL1C","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.032","0.038","1.032","4.07e-01",NA,NA,NA,0.008667703
"HBP1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.021","0.025","0.979","4.08e-01",NA,NA,NA,0.000568583
"TBRG4","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.039","0.047","1.040","4.10e-01",NA,NA,NA,0.004130835
"MAPK3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.020","0.025","1.020","4.11e-01",NA,NA,NA,0.010496082
"DHRS7","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.037","0.045","1.038","4.13e-01",NA,NA,NA,9.52e-05
"PRKAB1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.041","0.050","1.042","4.14e-01",NA,NA,NA,0.000459632
"SYT2","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.029","0.036","1.029","4.17e-01",NA,NA,NA,0.009472484
"WDR18","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.027","0.033","0.974","4.21e-01",NA,NA,NA,0.000395983
"CD59","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.017","0.021","1.017","4.22e-01",NA,NA,NA,0.011648698
"CTSV","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.033","0.041","0.968","4.29e-01",NA,NA,NA,0.000374706
"SURF1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.019","0.024","1.019","4.29e-01",NA,NA,NA,0.00995396
"MAK16","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.032","0.041","1.033","4.31e-01",NA,NA,NA,0.006784953
"TSFM","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.016","0.021","0.984","4.32e-01",NA,NA,NA,0.010658726
"SLC7A8","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.036","0.046","1.037","4.32e-01",NA,NA,NA,0.000223568
"FDXR","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.022","0.028","0.978","4.37e-01",NA,NA,NA,0.008488541
"MGME1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.032","0.041","1.032","4.37e-01",NA,NA,NA,0.000388002
"CFL2","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.029","0.037","1.029","4.37e-01",NA,NA,NA,0.013432995
"NMD3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.026","0.034","1.027","4.39e-01",NA,NA,NA,0.008086832
"HSPBAP1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.024","0.031","1.024","4.41e-01",NA,NA,NA,0.007349866
"GOSR1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.030","0.039","0.971","4.45e-01",NA,NA,NA,0.001501634
"GOLM1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.025","0.033","1.026","4.45e-01",NA,NA,NA,0.000944523
"NADSYN1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.033","0.043","0.968","4.46e-01",NA,NA,NA,0.000125859
"ACTA1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.019","0.026","0.981","4.49e-01",NA,NA,NA,0.002897219
"WNK2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.029","0.039","0.971","4.53e-01",NA,NA,NA,0.014157921
"WASL","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.023","0.030","1.023","4.54e-01",NA,NA,NA,0.009576995
"SHMT1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.023","0.031","0.978","4.59e-01",NA,NA,NA,0.00997565
"NAGA","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.038","0.051","1.039","4.59e-01",NA,NA,NA,0.001393028
"LRPAP1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.016","0.022","1.016","4.60e-01",NA,NA,NA,0.00964808
"VPS4B","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.032","0.043","0.969","4.63e-01",NA,NA,NA,0.007571335
"SLC25A24","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.012","0.016","1.012","4.63e-01",NA,NA,NA,0.011134488
"CAND1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.044","0.060","1.045","4.63e-01",NA,NA,NA,0.006535024
"DIRAS1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.028","0.039","0.972","4.67e-01",NA,NA,NA,7.45e-05
