"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ACOT2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.014,0.021,0.986,0.489,NA,NA,NA,0.000407887
"SURF1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.01,0.014,0.99,0.495,NA,NA,NA,0.005504903
"AP5M1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.014,0.02,1.014,0.496,NA,NA,NA,0.000483993
"C7orf50","Stem-cell-iPSC","SCZ","Wald ratio",1,0.007,0.01,1.007,0.498,NA,NA,NA,0.005621172
"LTA4H","Stem-cell-iPSC","SCZ","Wald ratio",1,0.025,0.037,1.025,0.5,NA,NA,NA,0.00165038
"TBRG4","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.019,0.028,0.982,0.501,NA,NA,NA,0.002178909
"IWS1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.017,0.026,1.017,0.501,NA,NA,NA,7.77e-05
"TXN","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.015,0.022,0.985,0.503,NA,NA,NA,0.007826374
"NOM1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.016,0.024,1.016,0.505,NA,NA,NA,0.000156031
"CECR1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.008,0.012,0.992,0.508,NA,NA,NA,0.004511826
"ZNRF1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.016,0.025,1.016,0.514,NA,NA,NA,0.000185172
"ENOSF1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.011,0.017,0.989,0.52,NA,NA,NA,0.003939388
"MDH2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.007,0.011,0.993,0.523,NA,NA,NA,0.005720849
"GAA","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.01,0.016,0.99,0.532,NA,NA,NA,0.005312857
"HEATR3","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.005,0.009,0.995,0.532,NA,NA,NA,0.005792974
"DLAT","Stem-cell-iPSC","SCZ","Wald ratio",1,0.014,0.023,1.015,0.537,NA,NA,NA,0.003683568
"AK3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.009,0.014,1.009,0.538,NA,NA,NA,0.006674834
"SRA1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.019,0.031,1.019,0.54,NA,NA,NA,0.001095797
"PFAS","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.018,0.029,0.982,0.542,NA,NA,NA,0.005614536
"MRI1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.008,0.014,0.992,0.545,NA,NA,NA,0.005423943
"HBP1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.009,0.015,1.009,0.558,NA,NA,NA,0.000287946
"FBLIM1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.012,0.021,0.988,0.561,NA,NA,NA,0.006010715
"GOLM1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.011,0.019,0.989,0.562,NA,NA,NA,0.000482251
"LYPLAL1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.01,0.017,1.01,0.563,NA,NA,NA,5.89e-05
"PRODH","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.009,0.015,0.991,0.563,NA,NA,NA,0.005282783
"HIBCH","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.008,0.015,0.992,0.57,NA,NA,NA,0.005135158
"C4orf27","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.007,0.013,0.993,0.574,NA,NA,NA,0.006476395
"ZNF557","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.01,0.018,0.99,0.58,NA,NA,NA,1.93e-05
"KIAA1524","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.014,0.026,0.986,0.583,NA,NA,NA,0.000411256
"CPPED1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.015,0.028,0.985,0.586,NA,NA,NA,0.002866854
"PARP4","Stem-cell-iPSC","SCZ","Wald ratio",1,0.011,0.02,1.011,0.588,NA,NA,NA,0.000242008
"CRABP2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.018,0.033,0.983,0.595,NA,NA,NA,0.001515236
"TBCD","Stem-cell-iPSC","SCZ","Wald ratio",1,0.013,0.024,1.013,0.605,NA,NA,NA,0.007354274
"LCLAT1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.011,0.022,1.011,0.606,NA,NA,NA,0.000851338
"STK33","Stem-cell-iPSC","SCZ","Wald ratio",1,0.013,0.026,1.013,0.607,NA,NA,NA,0.000641178
"NAGA","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.016,0.031,0.984,0.607,NA,NA,NA,0.000723427
"PDK1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.007,0.014,0.993,0.609,NA,NA,NA,0.00529688
"TSFM","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.006,0.012,0.994,0.61,NA,NA,NA,0.005206648
"STAT3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.011,0.022,1.011,0.61,NA,NA,NA,0.001158606
"RAB17","Stem-cell-iPSC","SCZ","Wald ratio",1,0.008,0.015,1.008,0.61,NA,NA,NA,0.005967549
"FAM118A","Stem-cell-iPSC","SCZ","Wald ratio",1,0.005,0.011,1.005,0.613,NA,NA,NA,0.005472352
"DPH6","Stem-cell-iPSC","SCZ","Wald ratio",1,0.014,0.027,1.014,0.613,NA,NA,NA,0.001103484
"IQGAP1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.011,0.022,1.011,0.617,NA,NA,NA,0.001344567
"TBCE","Stem-cell-iPSC","SCZ","Wald ratio",1,0.013,0.026,1.013,0.629,NA,NA,NA,0.004809139
"UGDH","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.011,0.024,0.989,0.633,NA,NA,NA,0.005012176
"VAMP4","Stem-cell-iPSC","SCZ","Wald ratio",1,0.008,0.016,1.008,0.633,NA,NA,NA,0.000375994
"APIP","Stem-cell-iPSC","SCZ","Wald ratio",1,0.005,0.011,1.005,0.64,NA,NA,NA,0.005097987
"TAMM41","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.006,0.013,0.994,0.641,NA,NA,NA,0.004874346
"CSTB","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.009,0.019,0.991,0.644,NA,NA,NA,0.005104823
"TP53I3","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.01,0.022,0.99,0.646,NA,NA,NA,0.001383685
"PWP1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.009,0.022,0.991,0.661,NA,NA,NA,0.000583808
"ARFGEF1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.014,0.033,1.014,0.674,NA,NA,NA,6.66e-05
"LRPAP1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.005,0.013,1.005,0.674,NA,NA,NA,0.00477887
"TTF2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.006,0.015,0.994,0.674,NA,NA,NA,0.004476102
"FANCI","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.006,0.016,0.994,0.692,NA,NA,NA,0.000495637
"MTAP","Stem-cell-iPSC","SCZ","Wald ratio",1,0.015,0.037,1.015,0.692,NA,NA,NA,0.001617626
"MZT2A","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.007,0.017,0.993,0.698,NA,NA,NA,0.000486169
"ATP5S","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.005,0.012,0.995,0.705,NA,NA,NA,0.004646785
"PROSC","Stem-cell-iPSC","SCZ","Wald ratio",1,0.014,0.036,1.014,0.706,NA,NA,NA,0.000892225
"NUF2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.01,0.026,1.01,0.707,NA,NA,NA,0.003088701
"TLDC1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.007,0.018,0.993,0.707,NA,NA,NA,0.000256482
"MLYCD","Stem-cell-iPSC","SCZ","Wald ratio",1,0.008,0.022,1.008,0.712,NA,NA,NA,0.000615909
"TBCEL","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.009,0.026,0.991,0.714,NA,NA,NA,0.001967452
"LARS2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.005,0.014,1.005,0.715,NA,NA,NA,0.004801827
"DHX36","Stem-cell-iPSC","SCZ","Wald ratio",1,0.009,0.024,1.009,0.715,NA,NA,NA,0.000155775
"MCAT","Stem-cell-iPSC","SCZ","Wald ratio",1,0.006,0.016,1.006,0.719,NA,NA,NA,0.00487137
"POLI","Stem-cell-iPSC","SCZ","Wald ratio",1,0.005,0.014,1.005,0.739,NA,NA,NA,0.004573408
"CYB5R2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.008,0.024,1.008,0.739,NA,NA,NA,0.004296612
"GALNT3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.004,0.014,1.004,0.762,NA,NA,NA,0.004476884
"PPT1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.008,0.027,1.008,0.765,NA,NA,NA,0.000206124
"RHBDD3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.004,0.014,1.004,0.769,NA,NA,NA,0.0001368
"TRMU","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.006,0.021,0.994,0.77,NA,NA,NA,5.92e-05
"BST2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.008,0.029,1.009,0.771,NA,NA,NA,0.001847551
"CCDC97","Stem-cell-iPSC","SCZ","Wald ratio",1,0.005,0.017,1.005,0.773,NA,NA,NA,0.000315067
"CRYZ","Stem-cell-iPSC","SCZ","Wald ratio",1,0.002,0.008,1.002,0.774,NA,NA,NA,0.004508767
"TMEM230","Stem-cell-iPSC","SCZ","Wald ratio",1,0.005,0.018,1.005,0.774,NA,NA,NA,0.004507838
"ACO1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.008,0.028,0.992,0.782,NA,NA,NA,0.000100781
"AACS","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.007,0.027,0.993,0.788,NA,NA,NA,0.001144081
"TTC38","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.007,0.027,0.993,0.79,NA,NA,NA,3.5e-05
"PPIE","Stem-cell-iPSC","SCZ","Wald ratio",1,0.006,0.022,1.006,0.792,NA,NA,NA,0.004656319
"CDA","Stem-cell-iPSC","SCZ","Wald ratio",1,0.003,0.014,1.003,0.801,NA,NA,NA,0.000340148
"TIMM21","Stem-cell-iPSC","SCZ","Wald ratio",1,0.005,0.021,1.005,0.804,NA,NA,NA,0.000329759
"GSTM4","Stem-cell-iPSC","SCZ","Wald ratio",1,0.006,0.022,1.006,0.804,NA,NA,NA,9.98e-05
"ATP8A1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.005,0.021,0.995,0.807,NA,NA,NA,2.13e-05
"MGME1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.006,0.024,1.006,0.807,NA,NA,NA,0.000172357
"YTHDC2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.003,0.013,1.003,0.815,NA,NA,NA,0.004788695
"COPG2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.006,0.024,0.994,0.816,NA,NA,NA,0.000443756
"KDR","Stem-cell-iPSC","SCZ","Wald ratio",1,0.005,0.022,1.005,0.818,NA,NA,NA,0.000357562
"SLFN13","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.003,0.014,0.997,0.818,NA,NA,NA,0.004441811
