"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"LINC00607","Lymphocyte","ADHD","Wald ratio",1,0.006,0.006,1.006,0.337,NA,NA,NA,1.89e-05
"PRKCE","Lymphocyte","ADHD","Wald ratio",1,0.016,0.017,1.016,0.337,NA,NA,NA,0.001701016
"ZMIZ2","Lymphocyte","ADHD","Wald ratio",1,-0.01,0.011,0.99,0.339,NA,NA,NA,0.007112204
"CLEC16A","Lymphocyte","ADHD","Wald ratio",1,0.014,0.014,1.014,0.34,NA,NA,NA,0.005784343
"DENND1A","Lymphocyte","ADHD","Wald ratio",1,0.01,0.011,1.01,0.343,NA,NA,NA,0.001169743
"VPS13C","Lymphocyte","ADHD","Wald ratio",1,0.014,0.015,1.014,0.344,NA,NA,NA,0.007277581
"BRF1","Lymphocyte","ADHD","Wald ratio",1,0.012,0.013,1.012,0.345,NA,NA,NA,0.008339938
"ACCS","Lymphocyte","ADHD","Wald ratio",1,-0.014,0.016,0.986,0.358,NA,NA,NA,0.008838318
"C1orf100","Lymphocyte","ADHD","Wald ratio",1,-0.005,0.006,0.995,0.358,NA,NA,NA,0.007148887
"TRMT12","Lymphocyte","ADHD","Wald ratio",1,-0.019,0.021,0.981,0.358,NA,NA,NA,0.002898517
"TRAM2","Lymphocyte","ADHD","Wald ratio",1,0.008,0.009,1.008,0.364,NA,NA,NA,0.007314821
"LL22NC03-30E12.13","Lymphocyte","ADHD","Wald ratio",1,0.011,0.012,1.011,0.365,NA,NA,NA,0.007171818
"STIL","Lymphocyte","ADHD","Wald ratio",1,-0.014,0.015,0.987,0.368,NA,NA,NA,0.000546099
"AP001046.6","Lymphocyte","ADHD","Wald ratio",1,-0.013,0.014,0.987,0.368,NA,NA,NA,0.005775489
"SERPINB10","Lymphocyte","ADHD","Wald ratio",1,0.017,0.019,1.018,0.37,NA,NA,NA,0.003123025
"ARID1B","Lymphocyte","ADHD","Wald ratio",1,-0.008,0.009,0.992,0.371,NA,NA,NA,0.000187062
"CD244","Lymphocyte","ADHD","Wald ratio",1,0.015,0.017,1.015,0.372,NA,NA,NA,0.001830957
"CTNNBIP1","Lymphocyte","ADHD","Wald ratio",1,-0.008,0.009,0.992,0.373,NA,NA,NA,4.18e-05
"RN7SKP122","Lymphocyte","ADHD","Wald ratio",1,0.02,0.023,1.021,0.379,NA,NA,NA,1.06e-06
"CENPM","Lymphocyte","ADHD","Wald ratio",1,-0.022,0.025,0.979,0.38,NA,NA,NA,0.000929953
"TRIM14","Lymphocyte","ADHD","Wald ratio",1,0.009,0.011,1.009,0.383,NA,NA,NA,0.007887435
"SLC2A9","Lymphocyte","ADHD","Wald ratio",1,-0.009,0.01,0.991,0.383,NA,NA,NA,0.006813675
"CLASP1","Lymphocyte","ADHD","Wald ratio",1,-0.009,0.011,0.991,0.386,NA,NA,NA,0.000100818
"SLC15A4","Lymphocyte","ADHD","Wald ratio",1,0.007,0.008,1.007,0.388,NA,NA,NA,0.006831276
"RP11-753N8.1","Lymphocyte","ADHD","Wald ratio",1,0.008,0.009,1.008,0.391,NA,NA,NA,0.0006091
"MSH6","Lymphocyte","ADHD","Wald ratio",1,0.013,0.015,1.013,0.392,NA,NA,NA,0.007923314
"XAF1","Lymphocyte","ADHD","Wald ratio",1,-0.005,0.006,0.995,0.405,NA,NA,NA,0.006734872
"RP11-565N2.1","Lymphocyte","ADHD","Wald ratio",1,-0.005,0.006,0.995,0.407,NA,NA,NA,0.005530368
"KCNQ5","Lymphocyte","ADHD","Wald ratio",1,-0.013,0.015,0.987,0.408,NA,NA,NA,0.001722158
"XYLT1","Lymphocyte","ADHD","Wald ratio",1,0.013,0.016,1.013,0.411,NA,NA,NA,0.001336699
"GRM8","Lymphocyte","ADHD","Wald ratio",1,0.007,0.009,1.007,0.416,NA,NA,NA,0.006620412
"SLC37A1","Lymphocyte","ADHD","Wald ratio",1,-0.007,0.009,0.993,0.417,NA,NA,NA,0.009791816
