Psychiatric disorder,Category name,Risk factor,Source,Method,P-value,OR
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1,eQTL_Brain Cortex SMR,Wald ratio,1.01E-04,1.109
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,AP006621.2,eQTL_Brain Cortex SMR,Wald ratio,1.01E-04,1.084
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PNPLA2,eQTL_Brain Cortex SMR,Wald ratio,1.01E-04,0.918
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,AP006621.3,eQTL_Brain Cortex SMR,Wald ratio,1.01E-04,1.037
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PIDD1,eQTL_Brain Cortex SMR,Wald ratio,1.01E-04,1.121
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PIDD1,eQTL_Brain Cortex,Wald ratio,1.01E-04,0.803
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PNPLA2,eQTL_Brain Cortex,Wald ratio,1.01E-04,1.139
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Cortex,Wald ratio,1.01E-04,0.954
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Frontal Cortex,Wald ratio,1.01E-04,0.947
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PNPLA2,eQTL_Brain Frontal Cortex,Wald ratio,1.01E-04,1.079
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PIDD1,eQTL_Brain Frontal Cortex,Wald ratio,1.01E-04,0.846
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Hippocampus,Wald ratio,1.01E-04,0.95
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Hypothalamus,Wald ratio,1.01E-04,0.939
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Nucleus,Wald ratio,1.01E-04,0.951
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Putamen,Wald ratio,1.01E-04,0.952
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Spinal,Wald ratio,1.01E-04,0.948
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Substantia,Wald ratio,1.01E-04,0.934
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PIDD,eQTL_Meta 10 Brain Regions,Wald ratio,1.01E-04,1.088
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,AP006621.5,eQTL_Meta 10 Brain Regions,Wald ratio,1.01E-04,1.05
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,AP006621.1,eQTL_Meta 10 Brain Regions,Wald ratio,1.01E-04,1.04
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PNPLA2,eQTL_Meta 10 Brain Regions,Wald ratio,1.01E-04,0.926
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,AP006621.6,eQTL_Meta 10 Brain Regions,Wald ratio,1.01E-04,1.092
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CCDC171,eQTL_Brain Cortex SMR,Inverse variance weighted,1.03E-04,0.955
