Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
DGCR2,Inhibitory neurons,ASD,Wald ratio,1,1.154,7.00E-03,NA,NA,NA,0.000859298
UTP23,Oligodendrocytes,ASD,Wald ratio,1,0.839,7.06E-03,NA,NA,NA,0.017625263
UTP23,Excitatory neurons,ASD,Wald ratio,1,0.771,7.06E-03,NA,NA,NA,0.000177367
TMEM99,Sert_D52,ASD,Wald ratio,1,0.941,7.23E-03,NA,NA,NA,0.201808
TMEM99,Epen1_D52_ROT,ASD,Wald ratio,1,0.922,7.23E-03,NA,NA,NA,0.199921298
TXNL4A,Excitatory neurons,ASD,Wald ratio,1,1.232,7.34E-03,NA,NA,NA,0.00252805
VSTM2B,DA_D52,ASD,Wald ratio,1,1.125,7.44E-03,NA,NA,NA,0.185620684
DCLK2,Astrocytes,ASD,Wald ratio,1,0.867,7.57E-03,NA,NA,NA,0.000101895
EVI5,Inhibitory neurons,ASD,Wald ratio,1,0.803,7.63E-03,NA,NA,NA,4.49E-05
CCDC122,DA_D30,ASD,Wald ratio,1,1.11,7.66E-03,NA,NA,NA,0.248531112
CCDC122,FPP_D11,ASD,Wald ratio,1,1.096,7.66E-03,NA,NA,NA,0.272365172
CCDC122,P_FPP_D11,ASD,Wald ratio,1,1.102,7.66E-03,NA,NA,NA,0.270114373
PARVA,Excitatory neurons,ASD,Wald ratio,1,1.079,7.96E-03,NA,NA,NA,0.26623079
PARVA,Inhibitory neurons,ASD,Wald ratio,1,1.074,7.96E-03,NA,NA,NA,0.235226699
GPR146,Pericytes,ASD,Wald ratio,1,1.138,7.97E-03,NA,NA,NA,5.24E-05
MALT1,P_FPP_D11,ASD,Wald ratio,1,0.831,8.02E-03,NA,NA,NA,0.120486482
FAM102B,Microglia,ASD,Wald ratio,1,0.844,8.17E-03,NA,NA,NA,2.44E-05
FAM171B,Oligodendrocytes,ASD,Wald ratio,1,0.967,8.44E-03,NA,NA,NA,0.182606141
AIFM3,Astrocytes,ASD,Wald ratio,1,1.487,8.45E-03,NA,NA,NA,2.73E-05
AC062021.1,Microglia,ASD,Wald ratio,1,0.927,8.53E-03,NA,NA,NA,0.024804292
FAM53A,Astrocytes,ASD,Wald ratio,1,1.131,8.57E-03,NA,NA,NA,3.22E-05
GXYLT1,Astrocytes,ASD,Wald ratio,1,1.119,8.61E-03,NA,NA,NA,3.11E-05
AL137025.1,Endothelial cells,ASD,Wald ratio,1,1.16,8.65E-03,NA,NA,NA,5.19E-05
SLC45A4,OPCs / COPs,ASD,Wald ratio,1,1.157,8.80E-03,NA,NA,NA,2.06E-05
FGD5-AS1,FPP_D11,ASD,Wald ratio,1,1.107,8.83E-03,NA,NA,NA,0.193860619
FGD5-AS1,P_FPP_D11,ASD,Wald ratio,1,1.099,8.83E-03,NA,NA,NA,0.193860619
RAC1,Epen1_D30,ASD,Wald ratio,1,1.18,8.91E-03,NA,NA,NA,0.176206365
RAC1,Sert_D52_ROT,ASD,Wald ratio,1,1.057,8.91E-03,NA,NA,NA,0.176487337
PRRT1,Excitatory neurons,ASD,Wald ratio,1,0.801,8.97E-03,NA,NA,NA,4.04E-05
AC068389.1,OPCs / COPs,ASD,Wald ratio,1,1.211,9.00E-03,NA,NA,NA,3.10E-05
