"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"TRAPPC8","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.029","0.094","1.030","7.57e-01",NA,NA,NA,0.014464808
"RPTOR","Brain Prefrontal cortex","PTSD","Weighted mode",3,"-0.010","0.028","0.990","7.57e-01",0.853767845,0.547331496,0.474843907,0.007475632
"SMYD3","Brain Prefrontal cortex","PTSD","Weighted median",4," 0.005","0.017","1.005","7.58e-01",0.961235857,0.96206462,0.691720977,0.002518047
"TBATA","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.010","0.034","1.010","7.59e-01",NA,NA,NA,0.008319576
"RASA3","Brain Prefrontal cortex","PTSD","Inverse variance weighted",2," 0.007","0.023","1.007","7.60e-01",NA,0.169093647,NA,0.023390917
"ERBB4","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.006","0.021","1.006","7.61e-01",NA,NA,NA,0.00766778
"NTM","Brain Prefrontal cortex","PTSD","Inverse variance weighted",3,"-0.004","0.014","0.996","7.62e-01",0.912740086,0.694281445,0.552541555,0.011971325
"GFPT2","Brain Prefrontal cortex","PTSD","Inverse variance weighted",2," 0.004","0.013","1.004","7.62e-01",NA,0.486318545,NA,0.007670275
"RPTOR","Brain Prefrontal cortex","PTSD","Simple mode",3,"-0.010","0.030","0.990","7.63e-01",0.853767845,0.547331496,0.474843907,0.007475632
"JKAMP","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.009","0.032","0.991","7.67e-01",NA,NA,NA,0.007966858
"NEK8","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.010","0.032","1.010","7.67e-01",NA,NA,NA,0.008362829
"KCNIP1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.011","0.037","1.011","7.69e-01",NA,NA,NA,0.010146719
"SYNE3","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.008","0.027","0.992","7.73e-01",NA,NA,NA,0.008748838
"SNPH","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.006","0.022","1.006","7.76e-01",NA,NA,NA,0.008132679
"PNLDC1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.005","0.019","1.005","7.78e-01",NA,NA,NA,0.007669509
"CKMT2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.009","0.032","0.991","7.78e-01",NA,NA,NA,0.005801804
"CDAN1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.011","0.039","0.989","7.79e-01",NA,NA,NA,0.00938794
"MCF2L","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.005","0.020","1.006","7.79e-01",NA,NA,NA,0.009334024
"FAT1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.008","0.030","1.008","7.91e-01",NA,NA,NA,0.007735499
"MUC17","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.008","0.031","1.008","7.92e-01",NA,NA,NA,0.009293241
"PTPN13","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.005","0.018","0.995","7.93e-01",NA,NA,NA,0.011630814
"ZNF429","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.005","0.019","0.995","7.93e-01",NA,NA,NA,0.00762854
"PRKG1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.010","0.037","0.990","7.94e-01",NA,NA,NA,0.007599616
"PLCG2","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.007","0.025","1.007","7.95e-01",NA,NA,NA,0.008075112
