"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"ZFP30","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.066","0.043","0.936","1.20e-01",NA,NA,NA,0.019708517
"TBATA","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.033","0.021","0.967","1.21e-01",NA,NA,NA,0.01659887
"SLC35F1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.024","0.016","1.025","1.23e-01",NA,NA,NA,0.015166018
"CAPN9","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.019","0.012","0.981","1.23e-01",NA,NA,NA,0.015448665
"DLGAP2","Brain Prefrontal cortex","BP","Weighted median",6," 0.012","0.008","1.012","1.27e-01",0.002044568,0.002938603,0.631817477,0.007461051
"KCNJ6","Brain Prefrontal cortex","BP","Wald ratio",1," 0.031","0.020","1.031","1.32e-01",NA,NA,NA,0.017136609
"UBAC2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.026","0.017","0.974","1.34e-01",NA,NA,NA,0.015052315
"XKR4","Brain Prefrontal cortex","BP","Wald ratio",1," 0.019","0.013","1.019","1.35e-01",NA,NA,NA,0.014562579
"GRTP1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.018","0.012","0.982","1.36e-01",NA,NA,NA,0.015475144
"SCG3","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.030","0.020","0.971","1.36e-01",NA,NA,NA,0.013968207
"ROBO2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.016","0.011","0.984","1.39e-01",NA,NA,NA,0.014077019
"HSD17B4","Brain Prefrontal cortex","BP","Wald ratio",1," 0.055","0.037","1.056","1.41e-01",NA,NA,NA,0.013489825
"NINJ2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.025","0.017","0.975","1.42e-01",NA,NA,NA,0.014170747
"NPM1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.032","0.022","1.032","1.43e-01",NA,NA,NA,0.013910108
"APAF1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.029","0.020","0.971","1.47e-01",NA,NA,NA,0.022196406
"ABCA7","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.038","0.027","0.962","1.50e-01",NA,NA,NA,0.015000686
"HHAT","Brain Prefrontal cortex","BP","Wald ratio",1," 0.028","0.019","1.028","1.51e-01",NA,NA,NA,0.013910328
"EXT1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.013","0.009","1.013","1.51e-01",NA,NA,NA,0.015767441
"HTATIP2","Brain Prefrontal cortex","BP","Wald ratio",1," 0.034","0.024","1.035","1.57e-01",NA,NA,NA,0.012581863
"ZNF385D","Brain Prefrontal cortex","BP","Wald ratio",1," 0.027","0.019","1.027","1.59e-01",NA,NA,NA,0.024091109
"NAALADL2","Brain Prefrontal cortex","BP","Inverse variance weighted",2," 0.023","0.017","1.024","1.59e-01",NA,0.248918752,NA,0.022858249
"ERBB4","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.018","0.013","0.982","1.60e-01",NA,NA,NA,0.012405459
"NBPF3","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.025","0.018","0.976","1.64e-01",NA,NA,NA,0.012212146
"LHCGR","Brain Prefrontal cortex","BP","Wald ratio",1," 0.018","0.013","1.018","1.68e-01",NA,NA,NA,0.014718237
"CACNG8","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.036","0.027","0.964","1.72e-01",NA,NA,NA,0.01298625
"FAM107B","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.024","0.017","0.976","1.73e-01",NA,NA,NA,0.016693361
"ABCA1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.039","0.028","1.040","1.73e-01",NA,NA,NA,0.016815173
"PPP4R4","Brain Prefrontal cortex","BP","Wald ratio",1," 0.024","0.018","1.024","1.78e-01",NA,NA,NA,0.016373583
"SLC5A10","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.043","0.032","0.958","1.79e-01",NA,NA,NA,0.015080687
"NXN","Brain Prefrontal cortex","BP","Inverse variance weighted",2,"-0.013","0.010","0.987","1.80e-01",NA,0.296161523,NA,0.025256127
"PCNT","Brain Prefrontal cortex","BP","Wald ratio",1," 0.033","0.025","1.034","1.81e-01",NA,NA,NA,0.010843702
"NTM","Brain Prefrontal cortex","BP","Weighted median",3," 0.014","0.011","1.014","1.84e-01",0.879195825,0.027346325,0.227462493,0.05918542
"ITGB3","Brain Prefrontal cortex","BP","Wald ratio",1," 0.035","0.027","1.036","1.85e-01",NA,NA,NA,0.011279748
"GPATCH2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.031","0.024","0.969","1.86e-01",NA,NA,NA,0.011342458
"TBX19","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.032","0.024","0.968","1.86e-01",NA,NA,NA,0.021965721
"SEC14L5","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.026","0.020","0.974","1.91e-01",NA,NA,NA,0.010903169
"LMF1","Brain Prefrontal cortex","BP","Inverse variance weighted",2,"-0.021","0.016","0.979","1.95e-01",NA,0.185607679,NA,0.005604673
"BCL11A","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.023","0.018","0.977","2.02e-01",NA,NA,NA,0.012087654
"SLC8A1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.026","0.020","0.974","2.04e-01",NA,NA,NA,0.01046834
"BIN1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.053","0.041","0.949","2.04e-01",NA,NA,NA,0.013832656
"HRNR","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.014","0.011","0.986","2.05e-01",NA,NA,NA,0.010693663
"PLEKHS1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.017","0.014","0.983","2.10e-01",NA,NA,NA,0.010273195
"SLC38A9","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.024","0.019","0.977","2.11e-01",NA,NA,NA,0.010691703
"WDR37","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.025","0.020","0.976","2.11e-01",NA,NA,NA,0.015186858
"COL19A1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.026","0.020","0.975","2.11e-01",NA,NA,NA,0.010585676
"ARHGAP24","Brain Prefrontal cortex","BP","Wald ratio",1," 0.012","0.010","1.012","2.16e-01",NA,NA,NA,0.010707935
"DLGAP2","Brain Prefrontal cortex","BP","Inverse variance weighted",6," 0.014","0.011","1.014","2.16e-01",0.002044568,0.002938603,0.631817477,0.007461051
"METTL4","Brain Prefrontal cortex","BP","Wald ratio",1," 0.020","0.017","1.021","2.16e-01",NA,NA,NA,0.011625675
"CDK14","Brain Prefrontal cortex","BP","Wald ratio",1," 0.029","0.023","1.029","2.19e-01",NA,NA,NA,0.009377583
"HOMER1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.030","0.024","0.970","2.19e-01",NA,NA,NA,0.003019494
"HPCAL1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.040","0.033","0.961","2.21e-01",NA,NA,NA,0.010232138
"BORCS5","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.020","0.017","0.980","2.22e-01",NA,NA,NA,0.009879963
"C1orf159","Brain Prefrontal cortex","BP","Wald ratio",1," 0.013","0.011","1.013","2.22e-01",NA,NA,NA,0.014037019
"WNK2","Brain Prefrontal cortex","BP","Wald ratio",1," 0.030","0.025","1.030","2.23e-01",NA,NA,NA,0.009865967
"RNF215","Brain Prefrontal cortex","BP","Wald ratio",1," 0.039","0.032","1.039","2.24e-01",NA,NA,NA,0.011445157
"DNAH1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.029","0.024","1.029","2.26e-01",NA,NA,NA,0.014466756
"PASK","Brain Prefrontal cortex","BP","Wald ratio",1," 0.016","0.014","1.017","2.28e-01",NA,NA,NA,0.019463741
"NTM","Brain Prefrontal cortex","BP","MR Egger",3," 0.157","0.059","1.170","2.28e-01",0.879195825,0.027346325,0.227462493,0.05918542
"MTNR1A","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.039","0.032","0.962","2.30e-01",NA,NA,NA,0.020260962
"HLA-DPB1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.029","0.024","1.029","2.32e-01",NA,NA,NA,0.010950512
"RPTOR","Brain Prefrontal cortex","BP","Weighted mode",3,"-0.030","0.018","0.970","2.32e-01",0.017182972,0.035404128,0.746551641,0.005194816
"FAM120B","Brain Prefrontal cortex","BP","Wald ratio",1," 0.018","0.015","1.018","2.32e-01",NA,NA,NA,0.009867423
"COL5A2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.028","0.024","0.972","2.33e-01",NA,NA,NA,0.011922678
"TP73","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.025","0.021","0.975","2.35e-01",NA,NA,NA,0.013715781
"OPRL1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.014","0.012","0.986","2.36e-01",NA,NA,NA,0.009676039
"ATP11A","Brain Prefrontal cortex","BP","Inverse variance weighted",2,"-0.015","0.013","0.985","2.38e-01",NA,0.828405701,NA,0.006057044
"FOXP1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.023","0.019","1.023","2.40e-01",NA,NA,NA,0.010127975
"UTS2R","Brain Prefrontal cortex","BP","Wald ratio",1," 0.016","0.014","1.016","2.41e-01",NA,NA,NA,0.022129983
"CACNA1C","Brain Prefrontal cortex","BP","Weighted median",3,"-0.013","0.011","0.987","2.41e-01",0.297613859,0.206878171,0.39917661,0.037031539
"WDR62","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.023","0.019","0.978","2.42e-01",NA,NA,NA,0.009209701
"MUC12","Brain Prefrontal cortex","BP","Wald ratio",1," 0.018","0.015","1.018","2.42e-01",NA,NA,NA,0.009785327
"UNC45B","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.022","0.019","0.978","2.43e-01",NA,NA,NA,0.00935857
"AP5Z1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.039","0.034","0.962","2.44e-01",NA,NA,NA,0.020814723
"CR1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.016","0.014","0.984","2.46e-01",NA,NA,NA,0.011401261
"APBA2","Brain Prefrontal cortex","BP","Wald ratio",1," 0.014","0.012","1.014","2.46e-01",NA,NA,NA,0.012620774
"ZNF16","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.013","0.011","0.987","2.46e-01",NA,NA,NA,0.010906099
