"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"ABTB2","Brain","ANX","Wald ratio",1," 0.115","0.115","1.122","3.17e-01",NA,NA,NA,0.024642463
"MAN2A1","Brain","ANX","Wald ratio",1,"-0.104","0.105","0.901","3.23e-01",NA,NA,NA,0.02529379
"WLS","Brain","ANX","Wald ratio",1,"-0.080","0.082","0.923","3.27e-01",NA,NA,NA,0.02398379
"CHRDL2","Brain","ANX","Wald ratio",1," 0.324","0.331","1.382","3.28e-01",NA,NA,NA,0.075947466
"CCDC188BP","Brain","ANX","Wald ratio",1," 0.158","0.162","1.172","3.29e-01",NA,NA,NA,0.032093863
"RARRES1","Brain","ANX","Wald ratio",1," 0.104","0.107","1.110","3.29e-01",NA,NA,NA,0.022437843
"FOXP1","Brain","ANX","Wald ratio",1," 0.082","0.084","1.086","3.29e-01",NA,NA,NA,0.02206764
"LDHC","Brain","ANX","Wald ratio",1," 0.056","0.058","1.058","3.29e-01",NA,NA,NA,0.033107523
"GRB10","Brain","ANX","Wald ratio",1,"-0.153","0.157","0.858","3.31e-01",NA,NA,NA,0.031485726
"NUP88","Brain","ANX","Wald ratio",1," 0.114","0.117","1.120","3.32e-01",NA,NA,NA,0.02376732
"SUGT1P4-STRA6LP","Brain","ANX","Wald ratio",1,"-0.178","0.183","0.837","3.32e-01",NA,NA,NA,0.035152134
"PEX5L","Brain","ANX","Wald ratio",1," 0.075","0.078","1.078","3.32e-01",NA,NA,NA,0.022739496
"FGFR2","Brain","ANX","Wald ratio",1,"-0.089","0.092","0.915","3.33e-01",NA,NA,NA,0.027737893
"ITGAD","Brain","ANX","Wald ratio",1,"-0.166","0.172","0.847","3.34e-01",NA,NA,NA,0.039719669
"CPEB4","Brain","ANX","Wald ratio",1," 0.094","0.097","1.099","3.34e-01",NA,NA,NA,0.020202964
"SCARB2","Brain","ANX","Wald ratio",1," 0.131","0.136","1.139","3.36e-01",NA,NA,NA,0.02788393
"RUFY1","Brain","ANX","Wald ratio",1,"-0.105","0.109","0.900","3.36e-01",NA,NA,NA,0.022152452
