Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
ANKRD27,Brain Cortex,BP,Wald ratio,1,0.157,0.049,1.17,0.00123,NA,NA,NA,0.485521898
NSUN2,Brain Cortex,BP,Wald ratio,1,-0.054,0.017,0.947,0.00123,NA,NA,NA,0.485437057
STAT4,Brain Cortex,BP,Wald ratio,1,-0.559,0.173,0.572,0.00123,NA,NA,NA,0.547187295
AC091878.1,Brain Cortex,BP,Weighted median,4,0.055,0.017,1.056,0.00125,0.688307083,0.070742156,0.128948367,0.62921369
NT5C2,Brain Cortex,BP,Inverse variance weighted,2,-0.151,0.047,0.86,0.00126,NA,0.448652444,NA,0.658377848
ZHX3,Brain Cortex,BP,Wald ratio,1,0.171,0.053,1.186,0.00129,NA,NA,NA,0.464823256
CRYBB2P1,Brain Cortex,BP,Inverse variance weighted,2,0.105,0.033,1.111,0.00132,NA,0.710214614,NA,0.523426487
CREBL2,Brain Cortex,BP,Wald ratio,1,0.57,0.178,1.769,0.00134,NA,NA,NA,0.664525452
THBS4,Brain Cortex,BP,Wald ratio,1,-0.111,0.035,0.895,0.00136,NA,NA,NA,0.439057322
SPG7,Brain Cortex,BP,Wald ratio,1,0.177,0.055,1.193,0.00137,NA,NA,NA,0.495060466
RPL13,Brain Cortex,BP,Wald ratio,1,0.109,0.034,1.115,0.00137,NA,NA,NA,0.495060466
CDK10,Brain Cortex,BP,Inverse variance weighted,2,-0.316,0.099,0.729,0.00141,NA,0.336039108,NA,0.240835936
TMCO3,Brain Cortex,BP,Inverse variance weighted,2,-0.077,0.024,0.925,0.00144,NA,0.891700949,NA,0.040518711
RSAD1,Brain Cortex,BP,Wald ratio,1,-0.177,0.055,0.838,0.00145,NA,NA,NA,0.528682293
QKI,Brain Cortex,BP,Wald ratio,1,-0.148,0.046,0.863,0.00146,NA,NA,NA,0.459389279
CYP7B1,Brain Cortex,BP,Inverse variance weighted,2,-0.172,0.054,0.842,0.00146,NA,0.412400196,NA,0.048871503
CNTNAP5,Brain Cortex,BP,Wald ratio,1,0.169,0.053,1.184,0.00148,NA,NA,NA,0.474305141
PRMT7,Brain Cortex,BP,Weighted median,3,0.077,0.024,1.08,0.00155,0.823118816,0.073703404,0.263879745,0.011511774
NECTIN3,Brain Cortex,BP,Wald ratio,1,-0.551,0.174,0.576,0.00156,NA,NA,NA,0.599174149
