Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
NDUFS5,Lymphocyte,ALZ,Wald ratio,1,0.972,2.19E-02,NA,NA,NA,0.061519628
AKIRIN1,Lymphocyte,ALZ,Wald ratio,1,0.818,2.19E-02,NA,NA,NA,0.063729651
MACF1,Lymphocyte,ALZ,Wald ratio,1,0.962,2.19E-02,NA,NA,NA,0.063729651
PLXDC1,Lymphocyte,ALZ,Wald ratio,1,1.027,2.21E-02,NA,NA,NA,0.070083774
SLC15A3,Lymphocyte,ALZ,Wald ratio,1,0.968,2.24E-02,NA,NA,NA,0.062367853
LTBP4,Lymphocyte,ALZ,Wald ratio,1,0.964,2.26E-02,NA,NA,NA,0.062570375
SHISA3,Lymphocyte,ALZ,Wald ratio,1,1.033,2.26E-02,NA,NA,NA,0.062567477
ADAMTS15,Lymphocyte,ALZ,Wald ratio,1,1.145,2.28E-02,NA,NA,NA,0.062775783
C6orf162,Lymphocyte,ALZ,Wald ratio,1,1.966,2.29E-02,NA,NA,NA,0.06082808
ALG10B,Lymphocyte,ALZ,Wald ratio,1,0.791,2.29E-02,NA,NA,NA,0.06082808
SNORD93,Lymphocyte,ALZ,Wald ratio,1,1.157,2.29E-02,NA,NA,NA,0.062983584
HIST1H2BB,Lymphocyte,ALZ,Wald ratio,1,0.906,2.31E-02,NA,NA,NA,0.065334793
NLRP3,Lymphocyte,ALZ,Wald ratio,1,0.949,2.32E-02,NA,NA,NA,0.073555589
RASGRP1,Lymphocyte,ALZ,Wald ratio,1,0.953,2.34E-02,NA,NA,NA,0.073967314
CA3,Lymphocyte,ALZ,Wald ratio,1,1.058,2.35E-02,NA,NA,NA,0.069995771
ALG3,Lymphocyte,ALZ,Wald ratio,1,1.029,2.37E-02,NA,NA,NA,0.07000495
VWA5B2,Lymphocyte,ALZ,Wald ratio,1,1.688,2.37E-02,NA,NA,NA,0.070208686
EGR2,Lymphocyte,ALZ,Wald ratio,1,1.11,2.37E-02,NA,NA,NA,0.059742552
CECR4,Lymphocyte,ALZ,Wald ratio,1,1.281,2.37E-02,NA,NA,NA,0.115919576
CECR5,Lymphocyte,ALZ,Wald ratio,1,1.051,2.37E-02,NA,NA,NA,0.11591958
FSD1L,Lymphocyte,ALZ,Wald ratio,1,1.031,2.40E-02,NA,NA,NA,0.060191979
ANGPT2,Lymphocyte,ALZ,Wald ratio,1,0.946,2.43E-02,NA,NA,NA,0.108342429
MGAT5,Lymphocyte,ALZ,Wald ratio,1,0.962,2.44E-02,NA,NA,NA,0.091532049
LOC151162,Lymphocyte,ALZ,Wald ratio,1,0.96,2.44E-02,NA,NA,NA,0.091532049
MESP2,Lymphocyte,ALZ,Wald ratio,1,1.026,2.50E-02,NA,NA,NA,0.061801887
MESP1,Lymphocyte,ALZ,Wald ratio,1,2.373,2.50E-02,NA,NA,NA,0.061823654
COL18A1,Lymphocyte,ALZ,Inverse variance weighted,2,0.964,2.51E-02,NA,0.759843268,NA,0.037940107
CYB5R3,Lymphocyte,ALZ,Wald ratio,1,3.951,2.54E-02,NA,NA,NA,0.089925738
RBMS1,Lymphocyte,ALZ,Wald ratio,1,0.968,2.56E-02,NA,NA,NA,0.056038415
SLC2A9,Lymphocyte,ALZ,Wald ratio,1,1.032,2.56E-02,NA,NA,NA,0.055789912
