Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
KNOP1,Brain Spinal cord cervical,ED,Wald ratio,1,1.057,4.16E-04,NA,NA,NA,0.81725168
KNOP1,Brain Hypothalamus,ED,Wald ratio,1,1.062,4.25E-04,NA,NA,NA,0.811660319
FURIN,Brain Frontal Cortex,ED,Wald ratio,1,0.81,4.28E-04,NA,NA,NA,0.258037516
ZNF195,Brain Anterior cingulate cortex,ED,Wald ratio,1,0.905,4.43E-04,NA,NA,NA,0.777761786
CD247,Brain Cortex SMR,ED,Inverse variance weighted,3,0.894,4.47E-04,0.530801236,0.734070996,0.717792299,0.363736277
ENPP5,Brain Caudate basal ganglia,ED,Wald ratio,1,1.157,4.53E-04,NA,NA,NA,0.765293549
ENPP4,Brain Caudate basal ganglia,ED,Wald ratio,1,1.3,4.53E-04,NA,NA,NA,0.709178659
ENPP4,Brain Putamen basal ganglia,ED,Wald ratio,1,1.355,4.53E-04,NA,NA,NA,0.291405461
ENPP5,Brain Putamen basal ganglia,ED,Wald ratio,1,1.182,4.53E-04,NA,NA,NA,0.402805663
R3HCC1L,Brain Cortex,ED,Wald ratio,1,1.179,4.60E-04,NA,NA,NA,0.276505052
ELP1,Brain Caudate basal ganglia,ED,Wald ratio,1,0.769,4.65E-04,NA,NA,NA,0.289608214
FGF14-AS2,Brain Cortex SMR,ED,Wald ratio,1,1.148,4.66E-04,NA,NA,NA,0.790876769
FGF14-AS2,Brain Hippocampus,ED,Wald ratio,1,0.866,4.66E-04,NA,NA,NA,0.790830722
TMEM51-AS1,Brain Cortex,ED,Wald ratio,1,1.116,4.75E-04,NA,NA,NA,0.244347048
KNOP1,Brain Frontal Cortex,ED,Wald ratio,1,1.065,4.90E-04,NA,NA,NA,0.788887647
AC002550.5,Meta 10 Brain Regions,ED,Wald ratio,1,0.951,5.09E-04,NA,NA,NA,0.787760755
KNOP1,Meta 10 Brain Regions,ED,Wald ratio,1,0.949,5.09E-04,NA,NA,NA,0.787760755
CTD-2380F24.1,Meta 10 Brain Regions,ED,Wald ratio,1,1.088,5.09E-04,NA,NA,NA,0.787758877
SECISBP2,Brain Cerebellar Hemisphere,ED,Wald ratio,1,0.872,5.13E-04,NA,NA,NA,0.865278785
KNOP1,Brain Putamen basal ganglia,ED,Wald ratio,1,1.049,5.27E-04,NA,NA,NA,0.774820792
KNOP1,Brain Cerebellum,ED,Wald ratio,1,1.053,5.52E-04,NA,NA,NA,0.782209675
GPRC5B,Brain Cerebellum,ED,Wald ratio,1,0.692,5.52E-04,NA,NA,NA,0.646486933
KNOP1,Brain Substantia nigra,ED,Wald ratio,1,1.054,5.57E-04,NA,NA,NA,0.7650126
GPM6A-DT,Brain Frontal Cortex,ED,Inverse variance weighted,2,0.923,5.59E-04,NA,0.532927497,NA,0.04962685
CBR3,Brain Frontal Cortex,ED,Wald ratio,1,0.897,5.59E-04,NA,NA,NA,0.725902102
KNOP1,Brain Hippocampus,ED,Wald ratio,1,1.054,5.61E-04,NA,NA,NA,0.766498804
TMEM51-AS1,Brain Frontal Cortex,ED,Wald ratio,1,1.112,5.63E-04,NA,NA,NA,0.738801588
MIR181A2HG,Brain Caudate basal ganglia,ED,Wald ratio,1,1.103,5.64E-04,NA,NA,NA,0.737041682
MIR181A2HG,Brain Cerebellum,ED,Wald ratio,1,1.118,5.64E-04,NA,NA,NA,0.722938145
MIR181A2HG,Brain Nucleus accumbens basal ganglia,ED,Wald ratio,1,1.124,5.64E-04,NA,NA,NA,0.352915543
SLC25A12,Brain Caudate basal ganglia,ED,Wald ratio,1,1.304,5.65E-04,NA,NA,NA,0.737331556
ASTN1,Brain Frontal Cortex,ED,Wald ratio,1,1.328,5.76E-04,NA,NA,NA,0.801140951
KNOP1,Brain Caudate basal ganglia,ED,Wald ratio,1,1.049,5.85E-04,NA,NA,NA,0.759561095
NIN,Brain Cortex SMR,ED,Wald ratio,1,1.213,5.86E-04,NA,NA,NA,0.710349022
CBR3-AS1,Brain Anterior cingulate cortex,ED,Wald ratio,1,0.904,5.89E-04,NA,NA,NA,0.096837544
CBR3,Brain Anterior cingulate cortex,ED,Wald ratio,1,0.889,5.89E-04,NA,NA,NA,0.712129619
FBXO27,Brain Cortex,ED,Wald ratio,1,0.839,5.90E-04,NA,NA,NA,0.758393829
FBXO27,Brain Cortex SMR,ED,Wald ratio,1,1.17,5.91E-04,NA,NA,NA,0.770475355
