Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
STEAP1B-AS1,Brain Substantia nigra,ANX,Wald ratio,1,0.908,6.29E-03,NA,NA,NA,0.001305336
WDR97,Brain Cortex,ANX,Wald ratio,1,0.182,6.31E-03,NA,NA,NA,0.480559133
COLGALT2,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.166,6.32E-03,NA,NA,NA,0.001552779
SLC44A3,Brain Cortex,ANX,Wald ratio,1,1.303,6.35E-03,NA,NA,NA,0.436608852
BTBD19,Brain Spinal cord cervical,ANX,Wald ratio,1,1.187,6.43E-03,NA,NA,NA,0.000390247
ZIC1,Brain Cortex,ANX,Wald ratio,1,1.575,6.45E-03,NA,NA,NA,0.350966631
C11orf74,Brain Cortex,ANX,Wald ratio,1,1.233,6.53E-03,NA,NA,NA,0.430454474
IFTAP,Brain Cortex,ANX,Wald ratio,1,0.327,6.53E-03,NA,NA,NA,0.430454442
DUSP6,Brain Hippocampus,ANX,Wald ratio,1,0.784,6.65E-03,NA,NA,NA,0.000715616
DMXL1,Brain Cortex,ANX,Wald ratio,1,1.35,6.74E-03,NA,NA,NA,0.458678599
CCDC92,Brain Putamen basal ganglia,ANX,Wald ratio,1,0.932,6.80E-03,NA,NA,NA,0.336996336
MITF,Brain Putamen basal ganglia,ANX,Wald ratio,1,0.772,6.89E-03,NA,NA,NA,0.000232287
MAGOH-DT,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,0.866,6.90E-03,NA,NA,NA,0.001411676
SH2D4A,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.18,6.94E-03,NA,NA,NA,0.000257553
CCDC78,Brain Substantia nigra,ANX,Wald ratio,1,0.666,7.01E-03,NA,NA,NA,0.129252649
WNK1,Brain Hypothalamus,ANX,Wald ratio,1,1.189,7.03E-03,NA,NA,NA,0.298588774
CHML,Brain Hypothalamus,ANX,Wald ratio,1,0.685,7.22E-03,NA,NA,NA,0.007724879
RGS9,Brain Hippocampus,ANX,Wald ratio,1,0.842,7.33E-03,NA,NA,NA,0.001426145
TDP1,Brain Spinal cord cervical,ANX,Wald ratio,1,1.14,7.45E-03,NA,NA,NA,0.00238705
CEBPZ,Brain Hippocampus,ANX,Wald ratio,1,1.161,7.48E-03,NA,NA,NA,0.00134301
RNF145,Brain Hypothalamus,ANX,Wald ratio,1,0.736,7.50E-03,NA,NA,NA,0.001128386
NOP53,Brain Hippocampus,ANX,Wald ratio,1,1.217,7.51E-03,NA,NA,NA,0.00389679
SRFBP1,Brain Spinal cord cervical,ANX,Wald ratio,1,1.205,7.71E-03,NA,NA,NA,0.000380133
RP11-367N14.2,Brain Cortex,ANX,Wald ratio,1,0.601,7.72E-03,NA,NA,NA,0.023342264
KIF13A,Brain Cortex,ANX,Inverse variance weighted,2,1.77,7.80E-03,NA,0.910136741,NA,0.231575913
STAU1,Brain Hippocampus,ANX,Wald ratio,1,0.858,7.83E-03,NA,NA,NA,0.182556896
COL4A3,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,1.286,7.94E-03,NA,NA,NA,0.001100519
ACVR1B,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.161,8.00E-03,NA,NA,NA,0.067573424
KITLG,Brain Hippocampus,ANX,Wald ratio,1,1.155,8.03E-03,NA,NA,NA,0.000394244
MYL12B,Brain Hypothalamus,ANX,Wald ratio,1,0.92,8.16E-03,NA,NA,NA,0.309899991
MYL12B,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,0.882,8.16E-03,NA,NA,NA,0.184091373
ANKRD17-DT,Brain Hypothalamus,ANX,Wald ratio,1,1.27,8.23E-03,NA,NA,NA,0.001368705
ZMAT4,Brain Hypothalamus,ANX,Wald ratio,1,1.151,8.25E-03,NA,NA,NA,0.002263842
OPN4,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,1.147,8.49E-03,NA,NA,NA,0.039814047
PGAM5,Brain Hippocampus,ANX,Wald ratio,1,1.165,8.60E-03,NA,NA,NA,0.355563714
PXMP2,Brain Hippocampus,ANX,Wald ratio,1,1.165,8.60E-03,NA,NA,NA,0.355563714
MYL12B,Brain Cortex,ANX,Wald ratio,1,0.839,8.65E-03,NA,NA,NA,0.300896969
DOK1,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.234,8.67E-03,NA,NA,NA,0.0005431
STARD10,Brain Cortex,ANX,Wald ratio,1,0.266,8.71E-03,NA,NA,NA,0.285701235
PSD3,Brain Hippocampus,ANX,Wald ratio,1,0.893,8.76E-03,NA,NA,NA,0.0461755
COL9A1,Brain Hippocampus,ANX,Wald ratio,1,1.106,8.82E-03,NA,NA,NA,0.291692114
LINC00683,Brain Putamen basal ganglia,ANX,Wald ratio,1,0.76,8.84E-03,NA,NA,NA,0.000921685
ITGB2,Brain Cortex,ANX,Wald ratio,1,1.639,8.89E-03,NA,NA,NA,0.335027651
