Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
RPS26,Epen1_D52,ADHD,Wald ratio,1,1.031,3.85E-05,NA,NA,NA,0.956979171
RPS26,Astro_D52,ADHD,Wald ratio,1,1.03,3.85E-05,NA,NA,NA,0.956979171
RPL41,FPP_D11,ADHD,Wald ratio,1,0.787,3.85E-05,NA,NA,NA,0.95697689
RPS26,DA_D30,ADHD,Wald ratio,1,1.047,3.85E-05,NA,NA,NA,0.956979171
RPS26,Sert_D52,ADHD,Wald ratio,1,1.034,3.85E-05,NA,NA,NA,0.956979171
RPS26,DA_D52,ADHD,Wald ratio,1,1.036,3.85E-05,NA,NA,NA,0.956979171
RPS26,Astro_D52_ROT,ADHD,Wald ratio,1,1.03,3.85E-05,NA,NA,NA,0.956979171
RPS26,FPP_D30,ADHD,Wald ratio,1,1.034,3.85E-05,NA,NA,NA,0.956979171
FAM186A,Astrocytes,ADHD,Wald ratio,1,0.776,3.90E-05,NA,NA,NA,0.003172833
TNKS2,OPCs / COPs,ADHD,Wald ratio,1,1.147,4.01E-05,NA,NA,NA,0.00221662
OGFOD2,DA_D52,ADHD,Wald ratio,1,1.135,4.19E-05,NA,NA,NA,0.899978949
OGFOD2,P_FPP_D11,ADHD,Wald ratio,1,1.121,4.19E-05,NA,NA,NA,0.927243183
OGFOD2,FPP_D11,ADHD,Wald ratio,1,1.178,4.19E-05,NA,NA,NA,0.761429267
ARL6IP4,Epen1_D52,ADHD,Wald ratio,1,0.757,4.33E-05,NA,NA,NA,0.73470006
RBM6,OPCs / COPs,ADHD,Wald ratio,1,0.877,4.62E-05,NA,NA,NA,0.021040299
DOCK3,Inhibitory neurons,ADHD,Wald ratio,1,0.739,4.62E-05,NA,NA,NA,0.005350285
PCCB,Epen1_D30,ADHD,Wald ratio,1,0.852,4.87E-05,NA,NA,NA,0.904031529
HEMK1,Excitatory neurons,ADHD,Wald ratio,1,0.725,4.90E-05,NA,NA,NA,0.001787483
AC093297.2,Inhibitory neurons,ADHD,Wald ratio,1,0.813,4.92E-05,NA,NA,NA,0.004543461
LINC00971,Excitatory neurons,ADHD,Wald ratio,1,1.325,5.10E-05,NA,NA,NA,0.003443648
STX6,Excitatory neurons,ADHD,Wald ratio,1,1.181,5.35E-05,NA,NA,NA,0.00351021
KNTC1,Oligodendrocytes,ADHD,Wald ratio,1,1.255,5.39E-05,NA,NA,NA,0.002876359
LSG1,Excitatory neurons,ADHD,Wald ratio,1,1.085,5.72E-05,NA,NA,NA,0.901553838
LSG1,Oligodendrocytes,ADHD,Wald ratio,1,1.137,5.72E-05,NA,NA,NA,0.004338385
LSG1,Astrocytes,ADHD,Wald ratio,1,1.102,5.72E-05,NA,NA,NA,0.007008881
MYEF2,Endothelial cells,ADHD,Wald ratio,1,1.116,5.77E-05,NA,NA,NA,0.001988159
IGF1R,Endothelial cells,ADHD,Wald ratio,1,0.928,5.79E-05,NA,NA,NA,0.879333554
ENKUR,Excitatory neurons,ADHD,Wald ratio,1,1.152,5.79E-05,NA,NA,NA,0.001642886
ESYT3,Excitatory neurons,ADHD,Wald ratio,1,0.819,5.79E-05,NA,NA,NA,0.167966419
FAIM,Epen1_D30,ADHD,Wald ratio,1,0.872,5.79E-05,NA,NA,NA,0.935114818
AP006621.3,Oligodendrocytes,ADHD,Wald ratio,1,1.092,6.06E-05,NA,NA,NA,0.935906965
RIPOR3,Pericytes,ADHD,Wald ratio,1,0.853,6.06E-05,NA,NA,NA,0.001355404
LARP4,Pericytes,ADHD,Wald ratio,1,1.192,6.08E-05,NA,NA,NA,0.001401986
KIFC1,Microglia,ADHD,Wald ratio,1,1.183,6.32E-05,NA,NA,NA,0.001351658
PROSER1,Astrocytes,ADHD,Wald ratio,1,1.182,6.34E-05,NA,NA,NA,0.001769397
U73166.1,Inhibitory neurons,ADHD,Wald ratio,1,0.87,7.19E-05,NA,NA,NA,0.001991765
ANKRD52,Astrocytes,ADHD,Wald ratio,1,0.844,7.23E-05,NA,NA,NA,0.001602361
HMCES,Excitatory neurons,ADHD,Wald ratio,1,0.766,7.46E-05,NA,NA,NA,0.003272169
AL138820.1,Excitatory neurons,ADHD,Wald ratio,1,1.305,7.53E-05,NA,NA,NA,0.001458032
CCDC171,Excitatory neurons,ADHD,Wald ratio,1,0.879,7.59E-05,NA,NA,NA,0.91979173
TRMO,Endothelial cells,ADHD,Wald ratio,1,1.113,7.62E-05,NA,NA,NA,0.002065119
SF3A3,FPP_D11,ADHD,Wald ratio,1,1.389,7.65E-05,NA,NA,NA,0.911969798
PTBP2,Endothelial cells,ADHD,Wald ratio,1,0.842,7.70E-05,NA,NA,NA,0.001711791
DOCK4,Oligodendrocytes,ADHD,Wald ratio,1,1.31,7.85E-05,NA,NA,NA,0.001269698
CPNE3,Excitatory neurons,ADHD,Wald ratio,1,0.823,7.99E-05,NA,NA,NA,0.020167082
RMDN1,Microglia,ADHD,Wald ratio,1,1.125,7.99E-05,NA,NA,NA,0.002254853
